1,企业,118
2,疫情,116
3,中国,68
4,社会,61
5,服务,48
6,公益,43
7,工作,41
8,基金会,41
9,组织,38
10,提供,38
11,防控,37
12,协会,36
13,抗疫,35
14,心理,35
15,中小,32
16,社区,29
17,新冠,28
18,项目,28
19,肺炎,27
20,行动,27
21,工作者,26
22,人员,25
23,会员,25
24,保障,24
25,北京,24
26,发展,24
27,物资,23
28,联合,22
29,通过,22
30,他们,22
31,做好,21
32,进行,21
33,防疫,21
34,国际,20
35,问题,20
36,志愿者,20
37,共同,20
38,支持,19
39,机构,19
40,全国,19
41,政府,19
42,复工,19
43,全球,19
44,期间,18
45,活动,18
46,湖北,18
47,国家,18
48,行业协会,18
49,落实,17
50,专业,17
51,关爱,17
52,同时,16
53,培训,16
54,作为,16
55,来源,16
56,我们,16
57,助力,16
58,健康,15
59,援助,15
60,武汉,15
61,复产,15
62,表示,15
63,指导,14
64,推动,14
65,联合会,14
66,慈善,14
67,记者,14
68,合作,14
69,引导,13
70,力量,13
71,开展,13
72,重要,13
73,腾讯,13
74,平台,13
75,经济,13
76,中小企业,13
77,美国,13
78,2020,12
79,措施,12
80,相关,12
81,情况,12
82,管理,12
83,检测,12
84,志愿,12
85,帮助,12
86,养老,12
87,积极,12
88,银行,12
89,商户,12
90,赛事,12
91,比赛,12
92,聚集,11
93,严格,11
94,加强,11
95,重点,11
96,地区,11
97,论坛,11
98,基层,11
99,目前,11
100,一线,11
101,资金,11
102,捐赠,11
103,集团,11
104,市场,11
105,我国,10
106,时间,10
107,部分,10
108,核酸,10
109,启动,10
110,举办,10
111,线上,10
112,多个,10
113,抗击,10
114,亿元,10
115,湖北省,10
116,必须,10
117,影响,10
118,技术,10
119,阿里巴巴,10
120,感染,9
121,方式,9
122,生产,9
123,社会工作,9
124,经验,9
125,发起,9
126,直播,9
127,作用,9
128,一个,9
129,民政部,9
130,困难,9
131,武汉市,9
132,需求,9
133,针对,9
134,优势,9
135,餐饮,9
136,小微,9
137,商会,9
138,联合国,9
139,商业,9
140,场所,8
141,控制,8
142,隔离,8
143,发布,8
144,安全,8
145,方案,8
146,多家,8
147,邀请,8
148,在线,8
149,建设,8
150,执行,8
151,模式,8
152,成为,8
153,当地,8
154,民间,8
155,发挥,8
156,国内,8
157,举行,8
158,民众,8
159,解决,8
160,冠军,8
161,防伪,8
162,方面,8
163,国际乒联,8
164,春节,7
165,要求,7
166,家庭,7
167,10,7
168,安排,7
169,准备,7
170,了解,7
171,群体,7
172,实现,7
173,政策,7
174,恢复,7
175,小时,7
176,会议,7
177,30,7
178,精神,7
179,分享,7
180,如何,7
181,生活,7
182,此次,7
183,参与,7
184,专家,7
185,人民,7
186,秘书长,7
